key,level,English,Japanese,Chinese
,,,,
it_steel_rabbit,0,Raises all damage by [VAR0_PERCENT].,Raises all damage by [VAR0_PERCENT].,Raises all damage by [VAR0_PERCENT].
it_opal_rabbit,0,Raises Special damage by [VAR0_PERCENT].,Raises Special damage by [VAR0_PERCENT].,Raises Special damage by [VAR0_PERCENT].
it_sapphire_rabbit,0,Raises Secondary damage by [VAR0_PERCENT].,Raises Secondary damage by [VAR0_PERCENT].,Raises Secondary damage by [VAR0_PERCENT].
it_ruby_rabbit,0,Raises Primary damage by [VAR0_PERCENT].,Raises Primary damage by [VAR0_PERCENT].,Raises Primary damage by [VAR0_PERCENT].
it_garnet_rabbit,0,"Every [CD], become invulnerable for [VAR0_SECONDS].","Every [CD], become invulnerable for [VAR0_SECONDS].","Every [CD], become invulnerable for [VAR0_SECONDS]."
it_emerald_rabbit,0,"Heals [VAR0] HP after each fight, up to [VAR1] times.","Heals [VAR0] HP after each fight, up to [VAR1] times.","Heals [VAR0] HP after each fight, up to [VAR1] times."
,,,,
it_blueburn_book,0,Your Secondary applies [SUPERBURN-2].,Your Secondary applies [SUPERBURN-2].,Your Secondary applies [SUPERBURN-2].
it_redburn_book,0,Your Primary applies [SUPERBURN-3].,Your Primary applies [SUPERBURN-3].,Your Primary applies [SUPERBURN-3].
it_brightcurse_book,0,Your Special applies [SUPERCURSE-0].,Your Special applies [SUPERCURSE-0].,Your Special applies [SUPERCURSE-0].
it_darkcurse_book,0,Your Special applies [SUPERCURSE-3].,Your Special applies [SUPERCURSE-3].,Your Special applies [SUPERCURSE-3].
,,,,
it_sparklesparkle_staff,0,Gain [SPARKLESPARKLE] when you use your Secondary.,Gain [SPARKLESPARKLE] when you use your Secondary.,Gain [SPARKLESPARKLE] when you use your Secondary.
it_wrenchrock_staff,0,Gain [BRICKSKIN] when you use your Defensive.,Gain [BRICKSKIN] when you use your Defensive.,Gain [BRICKSKIN] when you use your Defensive.
it_blackmoon_staff,0,"Every [CD], gain [BLACKMOON] when you use your Primary.","Every [CD], gain [BLACKMOON] when you use your Primary.","Every [CD], gain [BLACKMOON] when you use your Primary."
it_bluemoon_staff,0,"Every [CD], gain [BLUEMOON] when you use your Secondary.","Every [CD], gain [BLUEMOON] when you use your Secondary.","Every [CD], gain [BLUEMOON] when you use your Secondary."
